name,kernel,C,gamma,degree,pca_components,num_batches,train_size,n_support,test_acc,macro_f1,train_time
baseline_svm,rbf,1.0,scale,-,-,10,640,514,78.52,0.7927,0.0
poly_kernel,poly,1.0,scale,3,-,10,640,464,70.51,0.7346,0.0
tune_C=0.1,rbf,0.1,scale,-,-,10,640,631,63.67,0.589,0.1
tune_C=1,rbf,1.0,scale,-,-,10,640,518,79.1,0.7981,0.0
tune_C=10,rbf,10.0,scale,-,-,10,640,486,81.64,0.8255,0.0
tune_C=100,rbf,100.0,scale,-,-,10,640,507,82.03,0.8272,0.0
tune_gamma=scale,rbf,1.0,scale,-,-,10,640,506,77.15,0.7824,0.0
tune_gamma=auto,rbf,1.0,auto,-,-,10,640,503,79.3,0.803,0.0
tune_gamma=0.001,rbf,1.0,0.001,-,-,10,640,498,78.32,0.7817,0.0
tune_gamma=0.01,rbf,1.0,0.01,-,-,10,640,612,69.14,0.6917,0.1
more_data=5,rbf,1.0,scale,-,-,5,320,285,77.54,0.7601,0.0
more_data=20,rbf,1.0,scale,-,-,20,1280,899,80.27,0.8091,0.1
more_data=50,rbf,1.0,scale,-,-,50,3200,1862,84.38,0.8481,0.6
pca_n=50,rbf,1.0,scale,-,50,10,640,477,76.56,0.7732,0.0
pca_n=100,rbf,1.0,scale,-,100,10,640,504,79.1,0.8015,0.0
best_svm,rbf,10.0,scale,-,-,50,3200,1738,85.35,0.8578,0.5
